2026-08-26 10:16:07 | INFO     | src.pipeline | [AAPL] Registering company metadata...
2026-08-26 10:16:07 | INFO     | src.pipeline | [AAPL] Extracting last 90 days of price history...
2026-08-26 10:16:07 | INFO     | src.pipeline | [AAPL] Extracted 62 raw rows from source='yfinance'
2026-08-26 10:16:07 | INFO     | src.pipeline | [AAPL] Transforming (validate -> clean -> enrich)...
2026-08-26 10:16:07 | INFO     | src.pipeline | [AAPL] Loading 62 curated rows into stock_prices...
2026-08-26 10:16:07 | INFO     | src.pipeline | [AAPL] Done. inserted=0 updated=0 rejected=0
2026-08-26 10:16:07 | INFO     | src.pipeline | [MSFT] Registering company metadata...
2026-08-26 10:16:07 | INFO     | src.pipeline | [MSFT] Extracting last 90 days of price history...
2026-08-26 10:16:08 | INFO     | src.pipeline | [MSFT] Extracted 62 raw rows from source='yfinance'
2026-08-26 10:16:08 | INFO     | src.pipeline | [MSFT] Transforming (validate -> clean -> enrich)...
2026-08-26 10:16:08 | INFO     | src.pipeline | [MSFT] Loading 62 curated rows into stock_prices...
2026-08-26 10:16:08 | INFO     | src.pipeline | [MSFT] Done. inserted=0 updated=0 rejected=0
2026-08-26 10:16:08 | INFO     | src.pipeline | [GOOGL] Registering company metadata...
2026-08-26 10:16:08 | INFO     | src.pipeline | [GOOGL] Extracting last 90 days of price history...
2026-08-26 10:16:08 | INFO     | src.pipeline | [GOOGL] Extracted 62 raw rows from source='yfinance'
2026-08-26 10:16:08 | INFO     | src.pipeline | [GOOGL] Transforming (validate -> clean -> enrich)...
2026-08-26 10:16:08 | INFO     | src.pipeline | [GOOGL] Loading 62 curated rows into stock_prices...
2026-08-26 10:16:08 | INFO     | src.pipeline | [GOOGL] Done. inserted=0 updated=0 rejected=0
2026-08-26 10:16:08 | INFO     | src.pipeline | [AMZN] Registering company metadata...
2026-08-26 10:16:08 | INFO     | src.pipeline | [AMZN] Extracting last 90 days of price history...
2026-08-26 10:16:08 | INFO     | src.pipeline | [AMZN] Extracted 62 raw rows from source='yfinance'
2026-08-26 10:16:08 | INFO     | src.pipeline | [AMZN] Transforming (validate -> clean -> enrich)...
2026-08-26 10:16:08 | INFO     | src.pipeline | [AMZN] Loading 62 curated rows into stock_prices...
2026-08-26 10:16:08 | INFO     | src.pipeline | [AMZN] Done. inserted=0 updated=0 rejected=0
2026-08-26 10:16:08 | INFO     | src.pipeline | [TSLA] Registering company metadata...
2026-08-26 10:16:08 | INFO     | src.pipeline | [TSLA] Extracting last 90 days of price history...
2026-08-26 10:16:09 | INFO     | src.pipeline | [TSLA] Extracted 62 raw rows from source='yfinance'
2026-08-26 10:16:09 | INFO     | src.pipeline | [TSLA] Transforming (validate -> clean -> enrich)...
2026-08-26 10:16:09 | INFO     | src.pipeline | [TSLA] Loading 62 curated rows into stock_prices...
2026-08-26 10:16:09 | INFO     | src.pipeline | [TSLA] Done. inserted=0 updated=0 rejected=0
2026-08-26 10:16:09 | INFO     | src.pipeline | === Pipeline run #3 finished: status=SUCCESS processed=5 failed=0 inserted=0 updated=0 rejected=0 ===
2026-08-26 10:16:09 | INFO     | src.db_manager | MySQL connection closed.
2026-08-26 19:47:52 | INFO     | src.db_manager | Connected to MySQL database 'market_data_db' at 127.0.0.1:3306
2026-08-26 19:47:52 | INFO     | src.pipeline | === Pipeline run #4 started for 5 ticker(s) ===
2026-08-26 19:47:52 | INFO     | src.pipeline | [AAPL] Registering company metadata...
2026-08-26 19:47:52 | INFO     | src.pipeline | [AAPL] Extracting last 90 days of price history...
2026-08-26 19:47:53 | INFO     | src.pipeline | [AAPL] Extracted 62 raw rows from source='yfinance'
2026-08-26 19:47:53 | INFO     | src.pipeline | [AAPL] Transforming (validate -> clean -> enrich)...
2026-08-26 19:47:54 | INFO     | src.pipeline | [AAPL] Loading 62 curated rows into stock_prices...
2026-08-26 19:47:54 | INFO     | src.pipeline | [AAPL] Done. inserted=0 updated=0 rejected=0
2026-08-26 19:47:54 | INFO     | src.pipeline | [MSFT] Registering company metadata...
2026-08-26 19:47:54 | INFO     | src.pipeline | [MSFT] Extracting last 90 days of price history...
2026-08-26 19:47:54 | INFO     | src.pipeline | [MSFT] Extracted 62 raw rows from source='yfinance'
2026-08-26 19:47:54 | INFO     | src.pipeline | [MSFT] Transforming (validate -> clean -> enrich)...
2026-08-26 19:47:54 | INFO     | src.pipeline | [MSFT] Loading 62 curated rows into stock_prices...
2026-08-26 19:47:54 | INFO     | src.pipeline | [MSFT] Done. inserted=0 updated=0 rejected=0
2026-08-26 19:47:54 | INFO     | src.pipeline | [GOOGL] Registering company metadata...
2026-08-26 19:47:54 | INFO     | src.pipeline | [GOOGL] Extracting last 90 days of price history...
2026-08-26 19:47:54 | INFO     | src.pipeline | [GOOGL] Extracted 62 raw rows from source='yfinance'
2026-08-26 19:47:54 | INFO     | src.pipeline | [GOOGL] Transforming (validate -> clean -> enrich)...
2026-08-26 19:47:54 | INFO     | src.pipeline | [GOOGL] Loading 62 curated rows into stock_prices...
2026-08-26 19:47:54 | INFO     | src.pipeline | [GOOGL] Done. inserted=0 updated=0 rejected=0
2026-08-26 19:47:54 | INFO     | src.pipeline | [AMZN] Registering company metadata...
2026-08-26 19:47:54 | INFO     | src.pipeline | [AMZN] Extracting last 90 days of price history...
2026-08-26 19:47:55 | INFO     | src.pipeline | [AMZN] Extracted 62 raw rows from source='yfinance'
2026-08-26 19:47:55 | INFO     | src.pipeline | [AMZN] Transforming (validate -> clean -> enrich)...
2026-08-26 19:47:55 | INFO     | src.pipeline | [AMZN] Loading 62 curated rows into stock_prices...
2026-08-26 19:47:55 | INFO     | src.pipeline | [AMZN] Done. inserted=0 updated=0 rejected=0
2026-08-26 19:47:55 | INFO     | src.pipeline | [TSLA] Registering company metadata...
2026-08-26 19:47:55 | INFO     | src.pipeline | [TSLA] Extracting last 90 days of price history...
2026-08-26 19:47:55 | INFO     | src.pipeline | [TSLA] Extracted 62 raw rows from source='yfinance'
2026-08-26 19:47:55 | INFO     | src.pipeline | [TSLA] Transforming (validate -> clean -> enrich)...
2026-08-26 19:47:55 | INFO     | src.pipeline | [TSLA] Loading 62 curated rows into stock_prices...
2026-08-26 19:47:55 | INFO     | src.pipeline | [TSLA] Done. inserted=0 updated=0 rejected=0
2026-08-26 19:47:55 | INFO     | src.pipeline | === Pipeline run #4 finished: status=SUCCESS processed=5 failed=0 inserted=0 updated=0 rejected=0 ===
2026-08-26 19:47:55 | INFO     | src.db_manager | MySQL connection closed.
2026-08-27 15:58:08 | INFO     | src.db_manager | Connected to MySQL database 'market_data_db' at 127.0.0.1:3306
2026-08-27 15:58:08 | INFO     | src.pipeline | === Pipeline run #5 started for 5 ticker(s) ===
2026-08-27 15:58:08 | INFO     | src.pipeline | [AAPL] Registering company metadata...
2026-08-27 15:58:08 | INFO     | src.pipeline | [AAPL] Extracting last 90 days of price history...
2026-08-27 15:58:10 | INFO     | src.pipeline | [AAPL] Extracted 62 raw rows from source='yfinance'
2026-08-27 15:58:10 | INFO     | src.pipeline | [AAPL] Transforming (validate -> clean -> enrich)...
2026-08-27 15:58:10 | INFO     | src.pipeline | [AAPL] Loading 62 curated rows into stock_prices...
2026-08-27 15:58:10 | INFO     | src.pipeline | [AAPL] Done. inserted=1 updated=20 rejected=0
2026-08-27 15:58:10 | INFO     | src.pipeline | [MSFT] Registering company metadata...
2026-08-27 15:58:10 | INFO     | src.pipeline | [MSFT] Extracting last 90 days of price history...
2026-08-27 15:58:10 | INFO     | src.pipeline | [MSFT] Extracted 62 raw rows from source='yfinance'
2026-08-27 15:58:10 | INFO     | src.pipeline | [MSFT] Transforming (validate -> clean -> enrich)...
2026-08-27 15:58:10 | INFO     | src.pipeline | [MSFT] Loading 62 curated rows into stock_prices...
2026-08-27 15:58:10 | INFO     | src.pipeline | [MSFT] Done. inserted=1 updated=20 rejected=0
2026-08-27 15:58:10 | INFO     | src.pipeline | [GOOGL] Registering company metadata...
2026-08-27 15:58:10 | INFO     | src.pipeline | [GOOGL] Extracting last 90 days of price history...
2026-08-27 15:58:11 | INFO     | src.pipeline | [GOOGL] Extracted 62 raw rows from source='yfinance'
2026-08-27 15:58:11 | INFO     | src.pipeline | [GOOGL] Transforming (validate -> clean -> enrich)...
2026-08-27 15:58:11 | INFO     | src.pipeline | [GOOGL] Loading 62 curated rows into stock_prices...
2026-08-27 15:58:11 | INFO     | src.pipeline | [GOOGL] Done. inserted=1 updated=20 rejected=0
2026-08-27 15:58:11 | INFO     | src.pipeline | [AMZN] Registering company metadata...
2026-08-27 15:58:11 | INFO     | src.pipeline | [AMZN] Extracting last 90 days of price history...
2026-08-27 15:58:11 | INFO     | src.pipeline | [AMZN] Extracted 62 raw rows from source='yfinance'
2026-08-27 15:58:11 | INFO     | src.pipeline | [AMZN] Transforming (validate -> clean -> enrich)...
2026-08-27 15:58:11 | INFO     | src.pipeline | [AMZN] Loading 62 curated rows into stock_prices...
2026-08-27 15:58:11 | INFO     | src.pipeline | [AMZN] Done. inserted=1 updated=20 rejected=0
2026-08-27 15:58:11 | INFO     | src.pipeline | [TSLA] Registering company metadata...
2026-08-27 15:58:11 | INFO     | src.pipeline | [TSLA] Extracting last 90 days of price history...
2026-08-27 15:58:12 | INFO     | src.pipeline | [TSLA] Extracted 62 raw rows from source='yfinance'
2026-08-27 15:58:12 | INFO     | src.pipeline | [TSLA] Transforming (validate -> clean -> enrich)...
2026-08-27 15:58:12 | INFO     | src.pipeline | [TSLA] Loading 62 curated rows into stock_prices...
2026-08-27 15:58:12 | INFO     | src.pipeline | [TSLA] Done. inserted=1 updated=20 rejected=0
2026-08-27 15:58:12 | INFO     | src.pipeline | === Pipeline run #5 finished: status=SUCCESS processed=5 failed=0 inserted=5 updated=100 rejected=0 ===
2026-08-27 15:58:12 | INFO     | src.db_manager | MySQL connection closed.
2026-08-27 15:58:38 | INFO     | src.db_manager | Connected to MySQL database 'market_data_db' at 127.0.0.1:3306
2026-08-27 15:58:38 | INFO     | src.db_manager | MySQL connection closed.
2026-09-01 11:48:01 | INFO     | src.db_manager | Connected to MySQL database 'market_data_db' at 127.0.0.1:3306
2026-09-01 11:48:01 | INFO     | src.pipeline | === Pipeline run #6 started for 5 ticker(s) ===
2026-09-01 11:48:01 | INFO     | src.pipeline | [AAPL] Registering company metadata...
2026-09-01 11:48:01 | INFO     | src.pipeline | [AAPL] Extracting last 90 days of price history...
